,bucket_year,style_id,Unnamed: 0,diatonic_pct,triad_pct,mode_sin,mode_cos,step_range,ioi_mean,n_peaks,repeat_ratio,pitch_mean,cluster_id,intra_sd,cluster_size,song_title,performer,is_representative,major,is_new_style,rep_source
14,1968,5,8.0,0.928630508451232,0.5975843005726563,0.9749279121818236,-0.2225209339563143,17.0,0.8108899773142857,7.0,0.5277777777777778,60.72222222222222,0.0,0.025941497564181,422.0,Turn On A Dream,The Box Tops,0.0,0.0,0.0,medoid
15,1973,2,15.0,0.8869002361341457,0.6528842317546186,0.4338837391175582,-0.900968867902419,21.0,0.7636064717567568,8.0,0.5789473684210527,62.0,2.0,0.0390430931264497,495.0,Reaching For The World,Harold Melvin And The Blue Notes,0.0,1.0,1.0,medoid
16,1973,3,13.0,0.9022386703603426,0.5769888233308306,0.0,1.0,18.0,0.8094709083529412,9.0,0.5142857142857142,60.114285714285714,0.0,0.0323286575542779,294.0,I Get High On You,Sly Stone,0.0,1.0,0.0,medoid
17,1973,1,14.0,0.9552878867771388,0.6356939073441676,0.7818314824680298,0.6234898018587336,18.0,0.724041201825,10.0,0.6585365853658537,62.0,1.0,0.0307681401989783,951.0,I'll Get Over You,Crystal Gayle,0.0,1.0,1.0,medoid
18,1973,4,16.0,0.7597981560921725,0.5730877453351089,-0.9749279121818236,-0.2225209339563146,18.0,1.082543613,6.0,0.4285714285714285,63.392857142857146,3.0,0.0408450043503279,239.0,Living For The City,Stevie Wonder,0.0,0.0,1.0,medoid
19,1973,5,17.0,0.930418000824474,0.5546899764160445,0.9749279121818236,-0.2225209339563143,21.0,0.7429040525641025,10.0,0.5,63.6,4.0,0.0247685399573632,265.0,Let There Be Music,Orleans,1.0,0.0,0.0,medoid
20,1978,2,20.0,0.8849915366532548,0.6010876706580159,0.4338837391175582,-0.900968867902419,18.0,0.91811272675,8.0,0.5454545454545454,64.42424242424242,2.0,0.0402963793436663,467.0,Living Inside Myself,Gino Vannelli,0.0,1.0,1.0,medoid
21,1978,3,19.0,0.9519033646995316,0.629467353762183,0.7818314824680298,0.6234898018587336,22.0,0.8138427059722222,9.0,0.6756756756756757,60.67567567567568,1.0,0.041297929574774,1330.0,Will You Still Love Me Tomorrow,Dave Mason,0.0,1.0,0.0,medoid
22,1978,1,,0.9519033646995316,0.629467353762183,0.7818314824680298,0.6234898018587336,22.0,0.8138427059722222,9.0,0.6756756756756757,60.67567567567568,,,842.0,Will You Still Love Me Tomorrow,Dave Mason,,,,top1
23,1978,4,18.0,0.8117946365748842,0.6614162450809481,-0.9749279121818236,-0.2225209339563146,15.0,1.09855843992,6.0,0.5,65.23076923076923,0.0,0.0390352440388128,195.0,Shake Your Groove Thing,Peaches & Herb,0.0,0.0,1.0,medoid
