,diatonic_pct,triad_pct,mode_sin,mode_cos,step_range,ioi_mean,n_peaks,repeat_ratio,pitch_mean,bucket_year,cluster_id,intra_sd,cluster_size,song_title,performer,style_id,is_representative,major,is_new_style
10,0.946848708265816,0.6445196968905026,0.7818314824680298,0.6234898018587336,20.0,0.7925577475555555,10.0,0.6486486486486487,59.51351351351352,1968,2,0.02737298782723233,1128,Up On The Roof,Laura Nyro,1,0,1,1
11,0.8946673841548092,0.6624953727281595,0.0,1.0,21.0,0.8324513638000001,8.0,0.5833333333333334,59.5,1968,3,0.034319794396571505,365,Take A Look Around,Smith,3,0,1,0
12,0.7815618546471883,0.5619788574233855,-0.9749279121818236,-0.2225209339563146,19.0,0.8811059240312501,7.0,0.4848484848484848,63.21212121212121,1968,4,0.04103266272207353,322,(You've Got) Personality And Chantilly Lace,Mitch Ryder,4,1,0,1
13,0.9022386703603426,0.5769888233308306,0.0,1.0,18.0,0.8094709083529412,9.0,0.5142857142857142,60.114285714285714,1973,0,0.032328657554277954,294,I Get High On You,Sly Stone,3,0,1,0
14,0.9552878867771388,0.6356939073441676,0.7818314824680298,0.6234898018587336,18.0,0.724041201825,10.0,0.6585365853658537,62.0,1973,1,0.030768140198978302,951,I'll Get Over You,Crystal Gayle,1,0,1,1
15,0.8869002361341457,0.6528842317546186,0.43388373911755823,-0.900968867902419,21.0,0.7636064717567568,8.0,0.5789473684210527,62.0,1973,2,0.03904309312644976,495,Reaching For The World,Harold Melvin And The Blue Notes,2,0,1,1
16,0.7597981560921725,0.5730877453351089,-0.9749279121818236,-0.2225209339563146,18.0,1.082543613,6.0,0.4285714285714285,63.392857142857146,1973,3,0.040845004350327965,239,Living For The City,Stevie Wonder,4,0,0,1
17,0.930418000824474,0.5546899764160445,0.9749279121818236,-0.22252093395631434,21.0,0.7429040525641025,10.0,0.5,63.6,1973,4,0.02476853995736328,265,Let There Be Music,Orleans,5,1,0,0
18,0.8117946365748842,0.6614162450809481,-0.9749279121818236,-0.2225209339563146,15.0,1.09855843992,6.0,0.5,65.23076923076923,1978,0,0.039035244038812894,195,Shake Your Groove Thing,Peaches & Herb,4,0,0,1
19,0.9519033646995316,0.629467353762183,0.7818314824680298,0.6234898018587336,22.0,0.8138427059722222,9.0,0.6756756756756757,60.67567567567568,1978,1,0.041297929574774093,1330,Will You Still Love Me Tomorrow,Dave Mason,3,0,1,0
20,0.8849915366532548,0.6010876706580159,0.43388373911755823,-0.900968867902419,18.0,0.91811272675,8.0,0.5454545454545454,64.42424242424242,1978,2,0.04029637934366638,467,Living Inside Myself,Gino Vannelli,2,0,1,1
21,0.9671920112440168,0.6272417940017115,0.7818314824680298,0.6234898018587336,21.0,0.7179916376341462,8.0,0.6666666666666666,62.833333333333336,1983,0,0.04156638667972568,1139,Thin Line Between Love And Hate,Pretenders,1,0,1,1
22,0.939770455629186,0.6298455114710948,0.43388373911755823,-0.900968867902419,17.0,0.7352547875161292,8.0,0.5,63.125,1983,1,0.038023513958465684,517,Looking For A New Love,Jody Watley,2,1,1,1
23,0.8960123809442192,0.6898493281482597,-0.9749279121818236,-0.2225209339563146,14.0,0.9402389583870968,7.0,0.625,64.65625,1983,2,0.04647199668232165,234,All She Wants to Do Is Dance,Don Henley,4,0,0,1
24,0.9553731413790048,0.5884504299431343,0.7818314824680298,0.6234898018587336,16.0,0.819970194,9.0,0.6486486486486487,60.45945945945946,1988,0,0.04295356351886135,953,The End Of The Innocence,Don Henley,3,0,1,0
25,0.8451991730664422,0.6533697100398941,-0.9749279121818236,-0.2225209339563146,18.0,0.7557325933947368,9.0,0.5897435897435898,61.76923076923077,1988,1,0.0438766846390692,265,Breakdown,Seduction,4,0,0,1
26,0.9397461281874576,0.6360111879553698,0.43388373911755823,-0.900968867902419,15.0,0.9173935191290322,8.0,0.59375,61.15625,1988,2,0.04088103794468043,489,Heat Of The Moment,After 7,2,0,1,1
