,bucket_year,style_id,Unnamed: 0,instrument_count,timbre_brightness,acoustic,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,loudness,cluster_id,intra_sd,cluster_size,song_title,performer,is_representative,major,is_new_style,rep_source
45,1983,7,17.0,3.0,0.2768374681472778,0.4370184620004553,0.59,0.85,0.0589,0.0392,5.73e-06,0.248,0.566,-4.271,2.0,0.0265847994955594,345.0,Missionary Man,Eurythmics,0.0,0.0,1.0,medoid
46,1983,6,,4.0,0.1103248596191406,0.616413388330275,0.496,0.488,0.0296,0.387,4.17e-05,0.108,0.307,-8.007,,,84.0,Miracles,Stacy Lattisaw,,,,top1
47,1983,8,,7.0,0.159118577837944,0.5380281922180038,0.743,0.799,0.027,0.085,0.000136,0.0524,0.762,-5.366,,,14.0,Get That Love,Thompson Twins,,,,top1
48,1988,5,,2.0,0.0769747793674469,0.8422355751372929,0.457,0.297,0.0306,0.686,0.000107,0.109,0.333,-12.511,,,79.0,Patience,Guns N' Roses,,,,top1
49,1988,4,,4.0,0.0760315209627151,0.8410984279192032,0.49,0.701,0.0394,0.708,0.0,0.119,0.785,-7.94,,,60.0,Galileo,Indigo Girls,,,,top1
50,1988,3,,3.0,0.1384684741497039,0.7099913130314919,0.649,0.618,0.0265,0.596,1.46e-06,0.192,0.667,-10.728,,,131.0,You Got It,Roy Orbison,,,,top1
51,1988,1,19.0,3.0,0.1943470686674118,0.6229740016798377,0.719,0.77,0.0375,0.0538,0.0,0.0818,0.846,-7.429,0.0,0.0263504761500363,484.0,I Want You,Jody Watley,0.0,1.0,1.0,medoid
52,1988,2,20.0,4.0,0.1310712397098541,0.6597993775940829,0.6455,0.703,0.0387,0.07995,5.995e-05,0.117,0.646,-9.837,1.0,0.034487845032874,618.0,Just Another Dream,Cathy Dennis,1.0,1.0,1.0,medoid
53,1988,7,21.0,3.0,0.3021994531154632,0.3351080508901827,0.564,0.888,0.0325,0.0109,6.68e-05,0.177,0.526,-6.763,2.0,0.0298092936062292,259.0,Let's Get Rocked,Def Leppard,0.0,0.0,1.0,medoid
54,1988,6,22.0,3.0,0.1091955229640007,0.5891720661976201,0.48,0.535,0.0324,0.371,0.0,0.0929,0.293,-10.232,3.0,0.0329534225575205,346.0,Wind Of Change,Scorpions,0.0,0.0,1.0,medoid
